Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
Accenture,PT_00012,https://www.accenture.com,Accenture plc,Ireland,Europe & Central Asia,High income,Public, IE00B4BNMY34,,, Q338825, 5493000EWHDSR3MZWH98, DIB,,,  -   , Yes,,, Yes, IT Software & Services,6202, Computer consultancy and computer facilities management activities, ..., ...,"  64,111.75 ", ..., ...,"  733,000.00 ",  48.0 , ...,"  1,442.86 ",  -   , ,  -   ,  0.20 , , ,  -   ,  -   ,  0.52 , Yes,  -   , Targets Set, , ,,  -   ,  -   ,  -   ,"  360,973.00 ","  338,729.00 ",  100.00 ,31-Aug-23,  49 , ,  -   ,  -   , , ,Annual Report,Value Report 2023,https://www.accenture.com/content/dam/accenture/final/capabilities/corporate-functions/marketing-and-communications/marketing---communications/document/Accenture-Fiscal-2023-Annual-Report.pdf#zoom=50,https://www.accenture.com/content/dam/accenture/final/corporate/corporate-initiatives/sustainability/document/360-Value-Report-2023.pdf#zoom=50
Glencore,PT_00752,https://www.glencore.com,Glencore,Switzerland,Europe & Central Asia,High income,Public, JE00B4T3BW64,,, Q169339, 2138002658CPO9NBH955, Nature, , , Yes, , , , Yes, Metals & Mining,520, Mining of lignite,"  203,751.00 ","  255,984.00 ","  217,829.00 ","  81,284.00 ","  81,706.00 ","  83,426.00 ",  18.2 ,  37.5 ,"  959,428.00 ","  2,239,345,000.00 ",  25.80 ,  28.23 ,  26.38 ,  254.00 ,  -   ,  342.10 , No,  405.76 , Yes,  -   , …,"  49,444,444.44 ","  22,222,222.22 ",  25.00 ,"  53,694,444.87 ","  21,388,889.06 ",  18.00 ,"  56,115,600.00 ","  21,390,600.00 ",  12.00 ,31-Dec-23,  35 ,  42 ,  3 , Emp/Mines/Tax, Number of mines,  35 ,Annual Report 2023,2023 Glencore ESG Data Book,https://www.glencore.com/.rest/api/v1/documents/static/d09d8212-4a9f-4034-b2d4-49152e5a0aff/GLEN-2023-Annual-Report.pdf,https://www.glencore.com/.rest/api/v1/documents/static/e5e89566-6ac4-4cd5-9337-5f1e3fea5c41/GLEN-2023-ESG-Data-Book.xlsx
Agua y Saneamientos Argentinos,PT_02604,https://www.aysa.com.ar,Agua y Saneamientos Argentinos S.A.,Argentina,Latin America & Caribbean,Upper middle income,Government,,,, Q5660248, 5299003HUR94018IBF62, Urban, , , , , , Yes, Yes, Utilities,3600," Water collection, treatment and supply", ..., ..., ...,  -   ,  -   ,  -   , ...,  -   ,  -   ,  -   , ,  -   ,  -   , , ,  0.03 ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  1 , , ,  -   , Number of customers served,"  3,799,903 ",, ,, 
Algérienne Des Eaux,PT_02702,https://www.ade.dz,Algérienne Des Eaux,Algeria,Middle East & North Africa,Lower middle income,Government,,,,,, Urban, , , , , , Yes, Yes, Utilities,3600," Water collection, treatment and supply", ..., ..., ...,  -   ,  -   ,  -   , ..., Not found,  -   ,  -   , ,  -   ,  -   , , ,,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Zijin Mining,PT_01997,https://www.zijinmining.com,"Zijin Mining Group Co., Limited",China,East Asia & Pacific,Upper middle income,Public, CNE100000502,02899, HKEX, Q202841, 836800JRNL2393Z2I561, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  34,900 ","  40,108 ","  41,441 ","  43,876 ","  48,836 ","  55,239 ",  14.9 ,  15.4 ,"  66,130.00 ","  1,137,320,885.78 ",  7.26 ,  7.78 ,  8.41 ,  -   ,  -   ,  -   , No,  0.00 , No,  -   , …,"  15,236,890.00 ","  6,331,980.00 ",  5.72 ,"  16,294,540.00 ","  8,126,680.00 ",  32.50 ,"  19,022,460.00 ","  9,300,310.00 ",  45.63 ,31-Dec-23,  16 ,  10 ,  7 , Employees, Number of mines,  32 ,ANNUAL REPORT 2023,"Environmental, Social and Governance Report",https://www.zijinmining.com/upload/file/2024/04/30/74fe00e4dbe140fab01574193d4aae65.pdf,https://www.zijinmining.com/upload/file/2024/04/25/c599707af25d494fa3800a923028e51c.pdf
Anbessa City Bus Service Enterprise,PT_02646,https://anbessacitybus.weebly.com,Anbessa City Bus Enterprise (ACBE),Ethiopia,Sub-Saharan Africa,Low income,Private,,,, Q2845718,, Urban, , , , , , Yes, Yes, Passenger Transport,4921, Urban and suburban passenger land transport, ..., ..., ...,  -   ,  -   ,  -   , ..., Not found,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Andreessen Horowitz,PT_00106,https://a16z.com,Andreessen Horowitz,United States,North America,High income,Private,,,, Q4034010,, FSB, , , , , Yes, , Yes, Alternative Asset Managers,6499," Other financial service activities, except insurance and pension funding activities, n.e.c.", ..., ..., ..., ..., ...,  , ...,  14.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Rio Tinto,PT_01489,https://www.riotinto.com,Rio Tinto PLC,United Kingdom,Europe & Central Asia,High income,Public, GB0007188757,,, Q10291918, 213800YOEO5OQ72G2R82, Climate, , Yes, Yes, , , , Yes, Metals & Mining,710, Mining of iron ores,"  63,495 ","  55,554 ","  54,041 ","  49,000 ","  54,000 ","  50,768 ",  24.3 ,  41.7 ,"  1,170,000.00 ","  978,158,000.00 ",  31.00 ,  -   ,  26.10 ,  558.30 ,  -   ,  583.90 , Yes,  578.10 , Yes,  -   , …,"  110,277,777.78 ","  16,400,000.00 ",  -   ,"  110,167,000.00 ",  -   ,  -   ,"  112,786,800.00 ","  66,421,000.00 ",  72.22 ,31-Dec-23,  35 ,  48 ,  35 , Employees, Number of mines,  26 ,Annual report,Sustainability Fact Book 2023,https://cdn-rio.dataweavers.io/-/media/content/documents/invest/reports/annual-reports/rt-annual-report-2023.pdf?rev=46182a5c1f07476a9654508089c31d25,https://cdn-rio.dataweavers.io/-/media/content/documents/invest/reports/sustainable-development-reports/rt-sustainability-fact-book-2023.xlsx?rev=c3255527624a45d9ba0664f416615612
Averda,PT_02607,https://www.averda.com,Averda,United Arab Emirates,Middle East & North Africa,High income,Private,,,,, 549300JKJGO08U5CFQ63, Urban, , , , , , Yes, Yes, Waste Management,3811, Collection of non-hazardous waste, ..., ..., ...,  -   ,  -   ,  -   , ...,  16.7 ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Bahria Town,PT_02411,https://bahriatown.com/,Bahria Town,Pakistan,South Asia,Lower middle income,Private,,,, Q4842893,, Urban,,,  -   ,,, Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ..., ..., ..., ...,  , ..., ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Beijing Construction Engineering,PT_02189,https://www.bcegc.com,Beijing Construction Engineering Group ,China,East Asia & Pacific,Upper middle income,Government,,,, Q17001340, 300300DZYAONHF95D896, Urban, , ,  -   , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  4 , ,  -   ,  -   , , ,, ,, 
Teck Resources,PT_02207,https://www.teck.com,Teck Resources Limited,Canada,North America,High income,Public, CA8787422044,,, Q688725, T8KI5SQ2JRWHL7XY0E11, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  10,785 ","  13,320 ","  11,119 ","  11,280 ","  12,763 ","  13,154 ",  23.7 ,  27.3 ,"  145,770.00 ","  767,201,525.00 ",  2.94 ,  2.93 ,  3.36 ,  69.00 ,  -   ,  69.42 , Yes,  70.00 , No,  -   , …,"  11,771,944.44 ",  -   ,  96.00 ,"  11,108,055.56 ","  3,336,111.11 ",  94.00 ,"  12,635,287.89 ","  4,275,281.20 ",  82.00 ,31-Dec-23,  12 ,  19 ,  12 , Employees, Number of mines,  6 ,2023 ANNUAL REPORT,2023 SUSTAINABILITY REPORT,https://www.teck.com/media/2023-Annual-Report.pdf,https://www.teck.com/media/2023-Sustainability-Report.pdf
Bolt,PT_02279,https://bolt.eu,Bolt,Estonia,Europe & Central Asia,High income,Private,,,, Q20529164,, Urban, , , , , , Yes, Yes, Passenger Transport,4921, Urban and suburban passenger land transport, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA, Committed, Committed,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , Entity-defined measure of user activity ,"  150,000,000 ",, ,, 
Bridgewater Associates,PT_00276,https://www.bridgewater.com,Bridgewater Associates,United States,North America,High income,Private,,,, Q652431, EMTKKMJN2BHVKBWS4553, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ..., ..., ...,  , ...,  25.0 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
BUCG,PT_02190,http://english.bucg.com,Beijing Urban Construction Group,China,East Asia & Pacific,Upper middle income,Government,,,, Q4881207, 300300KRTT98UOL2QW34, Urban,,,  -   ,,, Yes, Yes, Construction & Engineering,4100, Construction of buildings, ...,"  3,644.20 ","  21,786.17 ", ...,  942.00 ,  -   , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  24 , ,  -   ,  -   , , ,Annual Report 2023, ,https://www.chinamoney.com.cn/dqs/cm-s-notice-query/fileDownLoad.do?mode=open&contentId=2870744&priority=0&ut=YcPHX%2BQcNxIEeO3jcThA30sJecY3bfhlVkSoflg3fCwNgerVJh2YlcP/GCY7xMfq7n04%2Bfp%2BqIgF%0A/XlcB2E3K3oKGj6%2BEIfYuR/YnOag5xp3DoWIp16rnh3tSKuLkJ8LaNJslhCB7kzUSmx1lteLY2fH%0AibYIHKelsSMbd1GsmfQ=%0A&sign=Q/d8solfMh3GOoMI5WmGUaZA1ukiCpO5sMwap9ByMZnt4tsJZeSkX6Wq1v3lRrKsnQLcWdAPun00%0ALsYa5AtcTZpCs2CvuKf8xTKL5JKkAphGIIEbpsADAhjeg2dCZIBVMUOFd2LaiLvRLJLML9AfJTc/%0AI44XV2MvFkyyEBuTLsA=%0A, 
